ID,body_weight,age,mature,sex,canine_length,femur_length,testicle_length,nipple_length,trunk_length,testicle_volume,DATE,DOB,DOM
SON,7.7,52.05,-2.59,M,9.9875,19.5,38.2,,35.5,12,9/14/2020,5/13/2016,12/2/2020
SON,9.4,54.65,0,M,12,20.5,47.8,,37.5,7.25,12/2/2020,5/13/2016,12/2/2020
SON,9.8,57.94,3.29,M,14.05,19.75,47.8,,38,25,3/12/2021,5/13/2016,12/2/2020
SON,10.8,61.62,6.97,M,14.825,19.5,45.7,,39.5,25,7/2/2021,5/13/2016,12/2/2020
SON,10.85,64.84,10.19,M,14.9,18.5,46.9,,36,25,10/8/2021,5/13/2016,12/2/2020
SON,10.1,68.53,13.86,M,14.505,19.5,57.3,,35,25,1/28/2022,5/13/2016,12/2/2020
SON,11.34,71.98,17.31,M,14.73,21.5,57.3,,38,25,5/13/2022,5/13/2016,12/2/2020
SON,12.16,75.2,20.53,M,14.64,22,56.4,,39,25,8/19/2022,5/13/2016,12/2/2020
SON,11.9,78.65,23.98,M,14.99,23,59.5,,39,25,12/2/2022,5/13/2016,12/2/2020
SON,13.4,80.72,26.05,M,15.015,24.25,55,,37.5,25,2/3/2023,5/13/2016,12/2/2020
SON,14,84.83,30.16,M,15.33,24,59.3,,41,25,6/8/2023,5/13/2016,12/2/2020
UNI,4.62,32.43,-12.11,F,0,16.75,,6.4,30.4,,2/27/2019,6/15/2016,3/2/2020
UNI,4.4,35.15,-9.38,F,3.2175,16.25,,6.9,31,,5/21/2019,6/15/2016,3/2/2020
UNI,4.72,38.14,-6.39,F,3.47,17,,9.7,32.5,,8/20/2019,6/15/2016,3/2/2020
UNI,5,41.33,-3.21,F,3.0475,18.5,,11.2,33,,11/25/2019,6/15/2016,3/2/2020
UNI,5.16,44.53,0,F,2.8275,17.5,,11.1,34,,3/2/2020,6/15/2016,3/2/2020
UNI,4.98,47.52,2.98,F,3.24,17.5,,9.9,35,,6/1/2020,6/15/2016,3/2/2020
UNI,5.3,50.97,6.43,F,3.33,18,,10.7,35,,9/14/2020,6/15/2016,3/2/2020
UNI,5.75,53.56,9.02,F,3.8,19.5,,13.7,36,,12/2/2020,6/15/2016,3/2/2020
UNI,5.5,56.86,12.31,F,4.8,19.5,,13.5,36.5,,3/12/2021,6/15/2016,3/2/2020
UNI,5.4,60.54,15.99,F,5.225,19,,12.3,38,,7/2/2021,6/15/2016,3/2/2020
UNI,6.15,63.76,19.21,F,5.45,18.5,,10.9,35.5,,10/8/2021,6/15/2016,3/2/2020
UNI,5.93,67.44,22.89,F,5.795,17.75,,11.6,34.5,,1/28/2022,6/15/2016,3/2/2020
UNI,5.77,70.89,26.34,F,6.045,18.25,,11.7,34.5,,5/13/2022,6/15/2016,3/2/2020
UNI,6.31,74.11,29.56,F,6.2425,19.5,,13,35,,8/19/2022,6/15/2016,3/2/2020
UNI,6,77.56,33.01,F,5.5475,22,,13,35,,12/2/2022,6/15/2016,3/2/2020
UNI,5.4,79.64,35.09,F,6.2525,22.75,,10.4,33,,2/3/2023,6/15/2016,3/2/2020
UNI,5.7,83.48,38.93,F,6.165,23,,10.1,33,,5/31/2023,6/15/2016,3/2/2020
TRI,3.82,31.21,-18.55,F,1.46,15.75,,4.9,30.8,,2/27/2019,7/22/2016,9/14/2020
TRI,3.92,33.94,-15.82,F,4.1175,14.5,,5.5,31.5,,5/21/2019,7/22/2016,9/14/2020
TRI,4.22,36.93,-12.84,F,4.1225,16.5,,8.1,31,,8/20/2019,7/22/2016,9/14/2020
TRI,4.26,40.11,-9.64,F,4.675,16,,9.3,33.5,,11/25/2019,7/22/2016,9/14/2020
TRI,4.58,43.32,-6.43,F,5.825,15.5,,8.3,33.5,,3/2/2020,7/22/2016,9/14/2020
TRI,4.5,46.31,-3.44,F,6.92,16.75,,8.3,34.5,,6/1/2020,7/22/2016,9/14/2020
TRI,4.6,49.75,0,F,7.0375,17,,8.6,36,,9/14/2020,7/22/2016,9/14/2020
TRI,5.25,52.35,2.59,F,7.275,17.25,,9.3,36,,12/2/2020,7/22/2016,9/14/2020
TRI,5,55.64,5.88,F,7.475,18,,8.8,36,,3/12/2021,7/22/2016,9/14/2020
TRI,5.25,59.32,9.57,F,7.525,17.5,,8.8,38,,7/2/2021,7/22/2016,9/14/2020
TRI,6,62.54,12.77,F,6.5,17.5,,7.6,35.5,,10/8/2021,7/22/2016,9/14/2020
TRI,6,66.23,16.46,F,6.965,17.5,,9.1,35,,1/28/2022,7/22/2016,9/14/2020
TRI,5.7,70.01,20.23,F,7.29,17.5,,9.1,36.5,,5/23/2022,7/22/2016,9/14/2020
TRI,5.89,72.9,23.12,F,7.09,19.25,,9.2,35,,8/19/2022,7/22/2016,9/14/2020
TRI,5.9,76.35,26.57,F,7.1475,22,,6.5,35.5,,12/2/2022,7/22/2016,9/14/2020
TRI,6.1,78.42,28.65,F,7.1125,23,,7.4,37,,2/3/2023,7/22/2016,9/14/2020
TRI,5.9,82.56,32.79,F,6.845,22.25,,7.4,35,,6/9/2023,7/22/2016,9/14/2020
